Feature,Importance
MedInc,0.4699578078294596
AveOccup,0.15556112980397827
Longitude,0.10294951319769348
Latitude,0.10012495568827907
HouseAge,0.05760702584638481
AveRooms,0.04843698874781345
AveBedrms,0.03307307385462874
Population,0.032289505031762686
